# release file data for PyukiWiki
# $Id$

gmail.com|google
mac.com|apple
me.com|apple
icloud.com|apple
hotmail.at|msn
hotmail.ca|msn
hotmail.cl|msn
hotmail.co.jp|msn
hotmail.co.kr|msn
hotmail.co.uk|msn
hotmail.com|msn
hotmail.com.ar|msn
hotmail.com.mx|msn
hotmail.com.sg|msn
hotmail.com.za|msn
hotmail.de|msn
hotmail.dk|msn
hotmail.fr|msn
hotmail.ie|msn
hotmail.it|msn
hotmail.nl|msn
hotmail.no|msn
hotmail.ru|msn
hotmail.se|msn
live.at|msn
live.be|msn
live.ca|msn
live.cl|msn
live.cn|msn
live.co.kr|msn
live.co.uk|msn
live.co.za|msn
live.com|msn
live.com.ar|msn
live.com.au|msn
live.com.mx|msn
live.com.my|msn
live.com.pe|msn
live.com.pk|msn
live.com.pt|msn
live.com.sg|msn
live.de|msn
live.dk|msn
live.fr|msn
live.hk|msn
live.ie|msn
live.it|msn
live.jp|msn
live.nl|msn
live.no|msn
live.ru|msn
live.se|msn
msn.com|msn
outlook.com|msn
windowslive.com|msn
